date,channel,campaign,region,spend,impressions,clicks,conversions
2025-05-26,Content,Q4 Renewal Push,North America,2757.29,551458,17982,1085
2024-10-26,Content,AI Solutions Roadshow,North America,615.28,123056,2192,100
2026-01-26,Content,Q3 Product Launch,APAC,1290.99,258197,9873,146
2024-08-11,Google Ads,Partner Co-Marketing,APAC,3416.27,427033,4133,283
2024-05-09,Google Ads,Industry Vertical Focus,North America,10475.2,1309400,6871,215
2024-04-04,LinkedIn,AI Solutions Roadshow,EMEA,8175.47,454192,10530,411
2025-05-16,Google Ads,Q4 Renewal Push,EMEA,6846.59,855823,5004,107
2025-04-27,Webinars,Partner Co-Marketing,EMEA,3221.35,128853,1442,32
2024-12-24,Webinars,Security Compliance Push,North America,3508.83,140353,2485,134
2025-05-10,Google Ads,AI Solutions Roadshow,North America,7883.7,985462,6054,120
2024-04-02,Events,Security Compliance Push,North America,17427.41,290456,3903,66
2024-02-24,Events,Q3 Product Launch,EMEA,23238.73,387312,10685,238
2025-04-13,Content,Q4 Renewal Push,North America,2489.31,497861,15180,1135
2025-11-02,Events,Q3 Product Launch,LATAM,22580.87,376347,6173,136
2025-08-13,Events,Industry Vertical Focus,North America,12709.25,211820,2328,39
2025-03-13,Email,Industry Vertical Focus,North America,708.09,354045,8624,173
2024-06-19,Email,Cloud Migration Series,EMEA,632.99,316495,7980,579
2024-07-27,Email,Partner Co-Marketing,APAC,661.48,330740,3067,186
2025-04-19,Content,Security Compliance Push,North America,2539.78,507956,7692,584
2025-08-07,Email,Annual Summit,APAC,1059.34,529670,20316,911
2026-01-02,Content,Q2 Lead Gen,North America,1672.38,334476,11328,795
2025-03-25,LinkedIn,Q3 Product Launch,EMEA,4969.02,276056,2946,97
2025-11-13,Events,Security Compliance Push,APAC,22284.74,371412,11200,279
2025-12-25,Email,Q3 Product Launch,EMEA,1034.64,517320,19153,517
2024-06-01,LinkedIn,Q2 Lead Gen,North America,4423.01,245722,7499,456
2024-02-25,Events,Q4 Renewal Push,North America,21760.73,362678,5181,252
2025-09-13,Content,Security Compliance Push,EMEA,1814.2,362840,9039,311
2024-08-03,Content,Cloud Migration Series,EMEA,1457.67,291534,3873,183
2024-03-03,LinkedIn,Q4 Renewal Push,North America,8841.53,491196,6518,242
2024-03-24,Events,Industry Vertical Focus,North America,13636.12,227268,3895,276
2024-08-03,Content,Industry Vertical Focus,APAC,2682.22,536444,3111,63
2025-08-14,Google Ads,Industry Vertical Focus,EMEA,8774.48,1096810,9034,216
2024-10-10,Content,Partner Co-Marketing,North America,2068.99,413797,4912,50
2025-03-01,Webinars,Q2 Lead Gen,North America,2969.07,118762,980,76
2024-05-28,Webinars,Q1 Brand Awareness,EMEA,3455.78,138231,1250,26
2025-12-04,Content,Security Compliance Push,North America,2406.38,481276,4758,85
2026-02-28,Content,Q2 Lead Gen,North America,1518.2,303640,2628,194
2024-02-12,LinkedIn,Industry Vertical Focus,EMEA,5014.74,278596,8442,475
2025-06-25,Webinars,Q4 Renewal Push,North America,3072.87,122914,3753,47
2025-08-08,Google Ads,AI Solutions Roadshow,North America,4400.66,550082,3008,67
2025-10-28,Content,Annual Summit,APAC,848.71,169742,5389,160
2024-04-12,LinkedIn,Annual Summit,North America,5820.38,323354,6084,284
2024-12-11,LinkedIn,Industry Vertical Focus,EMEA,8870.28,492793,5053,151
2024-05-11,LinkedIn,Industry Vertical Focus,North America,7897.49,438749,17466,602
2025-01-24,LinkedIn,Q1 Brand Awareness,APAC,3345.25,185847,5267,272
2024-05-11,Content,Industry Vertical Focus,EMEA,641.01,128202,1077,83
2024-05-01,Google Ads,Annual Summit,North America,11377.62,1422202,34473,1646
2025-01-31,Email,Q3 Product Launch,North America,354.61,177305,6729,485
2026-03-08,Google Ads,Q1 Brand Awareness,North America,7025.78,878222,6045,112
2025-09-20,Google Ads,Security Compliance Push,North America,7150.63,893828,6355,330
2024-03-03,Webinars,Q2 Lead Gen,North America,3914.11,156564,905,23
2024-05-09,Email,Partner Co-Marketing,EMEA,1473.43,736715,12512,353
2024-06-11,Content,Q1 Brand Awareness,North America,2304.8,460960,6910,189
2024-05-07,LinkedIn,Industry Vertical Focus,North America,8316.69,462038,17779,880
2026-02-25,Content,Security Compliance Push,North America,2743.3,548660,8662,125
2025-03-29,Events,Cloud Migration Series,North America,12963.27,216054,2384,64
2025-05-06,LinkedIn,Q3 Product Launch,APAC,3607.92,200440,4048,71
2025-07-22,LinkedIn,Q2 Lead Gen,APAC,5502.12,305673,1942,23
2026-01-24,Webinars,Partner Co-Marketing,North America,2461.63,98465,1444,109
2025-05-15,Google Ads,AI Solutions Roadshow,EMEA,7625.98,953247,22010,1471
2025-11-17,Email,Security Compliance Push,North America,1078.72,539360,19090,335
2024-12-16,Content,Q1 Brand Awareness,EMEA,1069.17,213834,1386,57
2024-09-09,LinkedIn,Security Compliance Push,EMEA,4191.4,232855,9059,606
2024-10-21,Email,Partner Co-Marketing,LATAM,949.8,474900,5690,216
2024-04-26,Content,Q4 Renewal Push,North America,1956.31,391262,4444,209
2025-06-24,Content,Cloud Migration Series,North America,2288.18,457635,11837,529
2024-07-28,LinkedIn,Partner Co-Marketing,North America,3232.55,179586,5115,363
2024-07-24,Events,AI Solutions Roadshow,North America,20349.43,339157,12839,956
2025-03-23,Webinars,AI Solutions Roadshow,APAC,1157.85,46313,1180,55
2026-04-30,Google Ads,Security Compliance Push,North America,2952.78,369097,5281,206
2024-04-12,Email,Cloud Migration Series,EMEA,351.91,175955,1297,23
2025-04-02,Events,Security Compliance Push,EMEA,7187.01,119783,1656,18
2025-11-01,Email,Industry Vertical Focus,North America,1303.39,651695,15850,1068
2025-07-30,Content,Annual Summit,EMEA,1356.11,271222,7694,458
2024-11-20,Google Ads,Q1 Brand Awareness,North America,8244.95,1030618,6520,334
2025-10-24,Events,Security Compliance Push,APAC,12384.0,206400,5410,428
2025-10-16,Google Ads,Q2 Lead Gen,North America,8067.04,1008380,29223,1956
2025-01-26,Events,Partner Co-Marketing,EMEA,6759.46,112657,4143,318
2024-06-01,Google Ads,Security Compliance Push,North America,2871.4,358925,7823,223
2024-08-26,Google Ads,Cloud Migration Series,North America,4424.98,553122,16101,741
2025-08-28,Events,Annual Summit,EMEA,22309.82,371830,14816,610
2024-01-16,LinkedIn,Annual Summit,North America,4901.67,272315,10778,605
2024-01-27,Google Ads,Security Compliance Push,North America,6823.12,852890,31252,2159
2024-04-18,LinkedIn,AI Solutions Roadshow,North America,2940.18,163343,4620,55
2026-04-02,Content,Annual Summit,North America,2834.13,566826,21413,1628
2026-03-29,LinkedIn,Q4 Renewal Push,North America,6853.08,380726,10101,463
2025-05-31,Events,Security Compliance Push,APAC,22030.98,367183,2909,119
2024-01-23,Content,Partner Co-Marketing,EMEA,2010.35,402070,6088,342
2024-02-01,LinkedIn,Partner Co-Marketing,APAC,8237.98,457665,7159,140
2026-02-15,LinkedIn,Security Compliance Push,APAC,8160.78,453376,10549,650
2024-08-26,Events,Security Compliance Push,LATAM,11976.95,199615,7513,358
2024-03-04,LinkedIn,Annual Summit,EMEA,4815.27,267515,4335,245
2026-04-28,Google Ads,Q4 Renewal Push,North America,3217.23,402153,10395,170
2025-10-25,Content,Q2 Lead Gen,APAC,1826.16,365232,8213,551
2024-10-03,Google Ads,Industry Vertical Focus,EMEA,7773.01,971626,22020,934
2026-02-09,Webinars,Industry Vertical Focus,APAC,3239.37,129574,4493,253
2024-02-21,Email,Q1 Brand Awareness,EMEA,613.55,306775,2799,205
2024-03-31,Events,AI Solutions Roadshow,North America,13001.27,216687,4832,234
2024-09-11,Google Ads,Security Compliance Push,North America,10980.12,1372515,40053,1965
2024-12-07,Content,AI Solutions Roadshow,North America,2469.67,493934,10426,686
2026-04-04,Content,AI Solutions Roadshow,North America,2136.0,427200,15365,1149
2025-12-19,Content,Annual Summit,APAC,1503.16,300632,7256,438
2025-09-18,Webinars,Q1 Brand Awareness,North America,2681.19,107247,1105,45
2024-06-05,Events,Cloud Migration Series,North America,7532.92,125548,4939,172
2026-02-17,Google Ads,AI Solutions Roadshow,North America,7648.43,956053,4791,372
2026-03-19,Google Ads,Annual Summit,EMEA,7513.95,939243,21192,1122
2025-03-22,Google Ads,Annual Summit,North America,3852.85,481606,19053,893
2025-09-08,Events,Q2 Lead Gen,North America,16766.19,279436,2017,62
2024-08-07,LinkedIn,Industry Vertical Focus,APAC,8958.39,497688,6813,383
2025-09-06,Content,Q3 Product Launch,LATAM,2695.52,539104,16181,284
2024-08-06,Webinars,AI Solutions Roadshow,APAC,2082.89,83315,3277,42
2024-09-17,Email,Partner Co-Marketing,EMEA,832.78,416390,13445,793
2024-06-18,Email,Annual Summit,APAC,954.36,477180,6764,359
2025-03-15,Email,Q1 Brand Awareness,APAC,1212.18,606090,8834,575
2025-03-02,Webinars,Q2 Lead Gen,EMEA,3485.98,139439,5072,381
2024-03-07,Events,Q3 Product Launch,EMEA,16215.31,270255,6773,326
2024-02-12,Events,Partner Co-Marketing,LATAM,18806.13,313435,11070,468
2025-07-18,Google Ads,Q2 Lead Gen,North America,6651.37,831421,16195,1123
2024-04-17,Google Ads,Cloud Migration Series,EMEA,11223.52,1402940,37782,2882
2025-07-13,Webinars,Industry Vertical Focus,EMEA,3053.27,122130,4522,266
2025-08-18,Webinars,Industry Vertical Focus,EMEA,1976.89,79075,1797,89
2025-12-06,LinkedIn,Cloud Migration Series,North America,3680.78,204487,3266,183
2024-04-23,LinkedIn,Industry Vertical Focus,North America,6113.58,339643,3844,265
2026-03-10,Webinars,Cloud Migration Series,North America,4149.19,165967,5994,78
2024-04-26,LinkedIn,Security Compliance Push,North America,6715.92,373106,2673,182
2025-07-04,Events,AI Solutions Roadshow,North America,10836.25,180604,3499,208
2024-05-08,LinkedIn,Partner Co-Marketing,EMEA,4159.11,231061,6003,219
2024-01-08,LinkedIn,Q1 Brand Awareness,EMEA,6489.56,360531,5602,109
2025-06-27,Events,Annual Summit,North America,10431.69,173861,3159,114
2024-10-07,Content,Partner Co-Marketing,EMEA,1635.22,327044,6333,208
2025-03-22,Email,Q3 Product Launch,North America,1331.84,665920,10572,419
2025-01-07,Webinars,Security Compliance Push,North America,4021.47,160858,4020,260
2024-11-11,Email,Q4 Renewal Push,North America,968.22,484110,12732,506
2024-09-05,Email,Annual Summit,APAC,1441.13,720565,23356,1630
2024-07-07,Webinars,Cloud Migration Series,EMEA,1070.76,42830,808,26
2025-09-14,Email,Q4 Renewal Push,APAC,331.72,165860,6239,248
2024-07-10,LinkedIn,Q3 Product Launch,North America,3103.52,172417,5460,227
2025-05-04,Content,Security Compliance Push,North America,922.41,184482,2962,43
2024-01-29,LinkedIn,Q2 Lead Gen,North America,6905.81,383656,3259,117
2025-05-30,Email,Partner Co-Marketing,APAC,1138.45,569225,22636,236
2025-07-03,LinkedIn,Q2 Lead Gen,EMEA,5517.15,306508,5781,345
2025-07-26,Google Ads,Q4 Renewal Push,APAC,4059.74,507467,13114,995
2025-03-30,LinkedIn,Annual Summit,North America,8958.36,497686,9604,272
2024-06-17,Content,AI Solutions Roadshow,North America,2353.07,470614,17498,240
2025-06-25,Email,Q4 Renewal Push,EMEA,1452.16,726080,12325,494
2025-12-14,Events,AI Solutions Roadshow,APAC,15019.97,250332,5292,182
2026-04-18,Content,Q3 Product Launch,North America,1235.35,247070,5680,179
2024-05-06,Content,Partner Co-Marketing,EMEA,1158.15,231630,3787,104
2026-03-27,Email,Q1 Brand Awareness,North America,1529.05,764525,10631,592
2024-10-19,Content,Security Compliance Push,North America,949.54,189908,2257,161
2024-04-24,Google Ads,Q4 Renewal Push,North America,9244.08,1155510,23873,1525
2025-09-21,Content,Security Compliance Push,EMEA,2089.9,417980,14021,223
2025-03-24,Webinars,Q4 Renewal Push,North America,1913.01,76520,2100,130
2025-05-16,Google Ads,Q1 Brand Awareness,North America,10393.0,1299125,30998,1796
2026-04-19,LinkedIn,Security Compliance Push,North America,1890.83,105046,2521,166
2024-03-09,Events,AI Solutions Roadshow,LATAM,20672.67,344544,4796,287
2024-07-18,LinkedIn,AI Solutions Roadshow,EMEA,7508.35,417130,5436,328
2025-05-30,Google Ads,Annual Summit,EMEA,4602.6,575325,19947,1429
2024-01-13,LinkedIn,Q2 Lead Gen,EMEA,6949.12,386062,7285,314
2024-10-20,Events,Q2 Lead Gen,APAC,11430.54,190509,2101,58
2025-11-17,Email,Annual Summit,North America,388.46,194230,4585,308
2025-01-05,Content,Q2 Lead Gen,EMEA,2086.9,417380,8665,562
2024-04-19,LinkedIn,Cloud Migration Series,North America,6089.45,338302,3433,144
2025-05-29,Events,Annual Summit,APAC,18918.55,315309,10448,519
2025-03-11,Events,Partner Co-Marketing,EMEA,7776.07,129601,4670,272
2024-03-03,Email,Cloud Migration Series,EMEA,1219.94,609970,20929,362
2025-04-05,Content,Q3 Product Launch,North America,1158.12,231623,7726,543
2025-09-04,Events,AI Solutions Roadshow,EMEA,8160.57,136009,1309,31
2025-07-24,Content,Q4 Renewal Push,EMEA,990.56,198112,2623,130
2024-04-15,Google Ads,Q2 Lead Gen,LATAM,8731.5,1091437,24556,919
2026-04-16,Google Ads,Industry Vertical Focus,North America,4055.06,506882,17914,1338
2025-12-29,Events,Partner Co-Marketing,APAC,8021.44,133690,1235,82
2024-01-16,Google Ads,Q4 Renewal Push,North America,2420.28,302535,2180,101
2025-04-17,Webinars,AI Solutions Roadshow,North America,4083.34,163333,3720,201
2025-11-18,Events,Security Compliance Push,EMEA,7136.69,118944,2874,193
2024-07-12,Email,AI Solutions Roadshow,APAC,689.62,344810,12793,338
2025-07-20,Email,Cloud Migration Series,EMEA,1140.68,570340,4549,207
2024-02-18,Webinars,Annual Summit,North America,3523.78,140951,4928,270
2024-07-18,Email,Annual Summit,North America,1577.53,788765,12678,726
2024-04-10,LinkedIn,Q1 Brand Awareness,North America,7366.28,409237,2288,156
2025-02-17,Google Ads,Q1 Brand Awareness,North America,10229.57,1278696,48617,3727
2025-08-25,Webinars,Security Compliance Push,APAC,2046.55,81862,2996,39
2025-03-19,Content,AI Solutions Roadshow,North America,820.87,164174,895,49
2025-01-14,Email,Q2 Lead Gen,EMEA,1221.22,610610,22112,1680
2024-10-15,LinkedIn,Security Compliance Push,EMEA,2524.12,140228,3715,277
2025-08-28,Email,Industry Vertical Focus,EMEA,989.17,494585,2733,175
2026-02-17,Google Ads,AI Solutions Roadshow,North America,4342.1,542762,13237,482
2026-01-13,Events,Industry Vertical Focus,EMEA,7858.67,130977,3437,223
2025-06-24,Google Ads,Partner Co-Marketing,North America,7732.04,966505,35199,1745
2025-04-28,Events,Security Compliance Push,APAC,6194.84,103247,626,41
2025-03-15,Google Ads,Cloud Migration Series,EMEA,3144.33,393041,8217,299
2025-12-10,Events,Q4 Renewal Push,North America,22910.75,381845,3682,263
2026-02-21,Email,Security Compliance Push,APAC,1127.76,563880,14213,968
2024-07-10,Webinars,Q1 Brand Awareness,North America,1156.88,46275,1615,102
2025-08-08,Email,Q3 Product Launch,APAC,1323.48,661740,11674,533
2024-04-30,Webinars,Security Compliance Push,EMEA,3365.35,134614,3834,75
2024-10-30,Webinars,Industry Vertical Focus,North America,1142.69,45707,1095,72
2025-10-22,Events,Q3 Product Launch,North America,16484.19,274736,7068,535
2025-03-22,Email,Q3 Product Launch,North America,1092.04,546020,11855,543
2024-03-17,Webinars,Q1 Brand Awareness,APAC,3983.38,159335,5890,167
2026-01-18,Email,Annual Summit,APAC,454.7,227350,5541,319
2025-01-16,Webinars,Q1 Brand Awareness,North America,3623.85,144954,1366,94
2024-05-24,Google Ads,Cloud Migration Series,EMEA,2400.58,300072,7534,570
2024-02-20,LinkedIn,AI Solutions Roadshow,North America,6869.71,381650,6478,189
2024-02-24,Webinars,Q3 Product Launch,North America,1358.76,54350,1884,80
2024-06-30,Events,Q3 Product Launch,APAC,16531.71,275528,9935,715
2024-10-13,LinkedIn,Q1 Brand Awareness,North America,5545.23,308068,11733,788
2024-07-06,Google Ads,Annual Summit,EMEA,4707.56,588445,5748,226
2025-02-02,Events,Cloud Migration Series,North America,6065.49,101091,3287,249
2025-10-18,Content,Q1 Brand Awareness,North America,1978.47,395694,15477,816
2025-04-19,LinkedIn,Q2 Lead Gen,North America,4877.31,270961,8444,110
2025-01-06,Google Ads,Security Compliance Push,North America,7867.31,983413,11787,144
2024-03-13,Webinars,Industry Vertical Focus,North America,931.76,37270,1434,40
2025-12-18,Content,Q2 Lead Gen,APAC,1977.61,395522,6300,376
2025-12-16,Email,Q4 Renewal Push,APAC,500.29,250145,6219,266
2025-08-30,Events,Industry Vertical Focus,North America,21263.29,354388,6046,312
2024-10-12,Webinars,Q2 Lead Gen,North America,3459.11,138364,5337,349
2025-06-11,Google Ads,Security Compliance Push,North America,5384.2,673025,16048,399
2026-02-28,Content,Q2 Lead Gen,North America,1397.5,279500,2901,186
2025-11-10,Events,AI Solutions Roadshow,North America,8316.98,138616,2964,91
2026-03-13,Content,Cloud Migration Series,North America,1857.64,371528,13317,358
2024-06-04,Webinars,Partner Co-Marketing,North America,3914.4,156576,6148,248
2026-02-02,Webinars,Security Compliance Push,North America,2808.8,112352,4453,355
2024-11-02,Events,Partner Co-Marketing,North America,10629.88,177164,1982,130
2025-01-26,Content,Annual Summit,North America,930.96,186192,1240,41
2025-04-01,Webinars,Annual Summit,EMEA,2265.03,90601,1876,62
2024-03-22,Email,AI Solutions Roadshow,North America,1042.65,521325,15911,169
2024-02-04,Events,Cloud Migration Series,APAC,11031.41,183856,1192,64
2024-11-12,Content,Q1 Brand Awareness,EMEA,2040.21,408042,14743,250
2024-03-26,LinkedIn,Security Compliance Push,APAC,8578.11,476561,3963,313
2024-01-20,Google Ads,Cloud Migration Series,APAC,9159.93,1144991,23565,877
2025-12-04,Content,Q3 Product Launch,North America,657.1,131420,3955,142
2024-08-27,Email,Annual Summit,EMEA,426.44,213220,2387,23
2024-03-25,Content,Q3 Product Launch,North America,2762.68,552536,17942,1309
2024-12-31,LinkedIn,Q1 Brand Awareness,North America,4807.3,267072,8929,663
2024-03-21,Email,Q2 Lead Gen,North America,1424.41,712205,26755,1965
2024-12-21,Content,Industry Vertical Focus,North America,2120.92,424184,11290,138
2024-10-16,LinkedIn,Security Compliance Push,North America,4989.18,277176,3241,61
2025-09-01,Events,Q1 Brand Awareness,APAC,18399.3,306655,7864,280
2024-01-29,Google Ads,Q2 Lead Gen,North America,11832.64,1479080,22296,1280
2024-08-09,Email,Q1 Brand Awareness,North America,1468.5,734250,6717,197
2024-05-09,LinkedIn,Q4 Renewal Push,North America,5446.67,302592,8913,563
2024-03-06,LinkedIn,Partner Co-Marketing,North America,6216.7,345372,2860,72
2025-10-31,Email,Industry Vertical Focus,EMEA,543.06,271530,6541,223
2026-02-07,Google Ads,Cloud Migration Series,EMEA,5668.49,708561,4676,173
2024-02-04,LinkedIn,AI Solutions Roadshow,LATAM,5899.64,327757,8264,455
2025-02-11,Events,AI Solutions Roadshow,APAC,22249.6,370826,8960,135
2025-01-31,Content,Security Compliance Push,EMEA,705.81,141161,4141,111
2025-05-05,Events,Annual Summit,EMEA,7205.88,120098,4340,109
2024-07-17,Events,Annual Summit,North America,18218.67,303644,12002,844
2024-01-22,LinkedIn,AI Solutions Roadshow,EMEA,4514.23,250790,8697,182
2024-12-01,LinkedIn,Q4 Renewal Push,North America,4305.16,239175,1288,57
2025-01-23,Email,Annual Summit,North America,820.69,410345,6157,259
2024-09-17,Google Ads,Industry Vertical Focus,North America,4192.99,524123,19993,1183
2024-06-02,Google Ads,Q4 Renewal Push,North America,10617.71,1327213,9875,608
2024-02-02,Events,Q1 Brand Awareness,EMEA,21933.06,365551,12561,166
2024-09-07,LinkedIn,Partner Co-Marketing,EMEA,4780.83,265601,3682,40
2024-04-29,LinkedIn,AI Solutions Roadshow,North America,3383.6,187977,1835,137
2024-10-15,Content,Cloud Migration Series,LATAM,2816.47,563294,11817,742
2025-07-30,Events,Partner Co-Marketing,EMEA,21258.43,354307,12444,200
2025-08-30,Content,Industry Vertical Focus,APAC,1348.04,269608,5077,132
2024-09-03,Webinars,Q3 Product Launch,APAC,3994.3,159772,1589,57
2025-06-17,Google Ads,Q2 Lead Gen,North America,11839.71,1479963,53496,3137
2024-05-09,LinkedIn,Security Compliance Push,North America,7568.3,420461,14491,373
2026-02-08,Events,Q1 Brand Awareness,North America,13083.82,218063,8397,142
2026-03-25,Events,Q3 Product Launch,North America,22212.56,370209,8646,161
2025-08-09,Webinars,Q1 Brand Awareness,EMEA,2870.71,114828,2317,148
2025-05-30,Webinars,Q4 Renewal Push,EMEA,2049.75,81990,1989,121
2024-11-16,Events,Security Compliance Push,EMEA,13832.55,230542,6833,113
2025-07-23,Events,Q1 Brand Awareness,EMEA,19207.92,320131,10263,761
2025-05-05,Events,Industry Vertical Focus,APAC,6089.64,101494,3985,209
2024-06-07,Events,Industry Vertical Focus,EMEA,8109.66,135161,3084,102
2024-11-14,LinkedIn,Q2 Lead Gen,LATAM,2794.34,155241,4701,203
2024-01-02,LinkedIn,Q3 Product Launch,EMEA,6228.3,346016,8229,442
2024-08-22,Google Ads,Q3 Product Launch,North America,3251.33,406416,5997,474
2025-11-01,Google Ads,Q3 Product Launch,APAC,10658.44,1332305,41530,607
2025-01-03,Events,Industry Vertical Focus,EMEA,18261.14,304352,8692,534
2026-01-22,LinkedIn,Q3 Product Launch,North America,3296.58,183143,1240,93
2025-12-13,Google Ads,Q4 Renewal Push,APAC,3653.61,456701,9299,326
2024-05-10,Content,Q2 Lead Gen,North America,2322.85,464570,2996,192
2024-05-13,Events,Q2 Lead Gen,North America,21817.65,363627,7000,263
2024-01-03,Content,Q1 Brand Awareness,North America,2503.31,500662,6547,445
2025-04-12,Webinars,Cloud Migration Series,North America,2937.66,117506,3100,79
2026-02-25,LinkedIn,Q1 Brand Awareness,EMEA,8932.81,496267,4038,233
2026-04-12,Content,Q2 Lead Gen,EMEA,1507.49,301498,7924,556
2024-06-11,Events,Partner Co-Marketing,North America,22926.96,382116,2300,62
2026-01-29,Events,Annual Summit,North America,12232.31,203871,2176,108
2026-03-31,Google Ads,Q2 Lead Gen,North America,2534.32,316790,2203,84
2025-01-12,Webinars,AI Solutions Roadshow,EMEA,3531.06,141242,5110,188
2025-12-18,Webinars,Q3 Product Launch,North America,2682.75,107310,2015,71
2024-11-06,Events,Annual Summit,APAC,19837.87,330631,5130,64
2025-03-17,Webinars,Q4 Renewal Push,EMEA,3008.4,120336,1395,35
2025-03-02,Email,Q1 Brand Awareness,North America,1093.78,546890,5936,138
2024-06-21,Webinars,Q3 Product Launch,North America,3815.76,152630,1235,96
2024-09-18,Google Ads,AI Solutions Roadshow,EMEA,11228.5,1403562,43313,3285
2025-07-22,Content,Cloud Migration Series,North America,963.13,192626,5542,385
2025-10-13,LinkedIn,Partner Co-Marketing,EMEA,8633.83,479657,12372,718
2024-04-10,Content,Industry Vertical Focus,APAC,954.05,190810,2557,81
2026-04-20,Content,Q2 Lead Gen,EMEA,1970.14,394028,7214,183
2025-07-27,Email,Q4 Renewal Push,APAC,1241.81,620905,24019,713
2025-04-16,Google Ads,Cloud Migration Series,EMEA,5900.84,737605,9776,265
2024-07-26,LinkedIn,Q4 Renewal Push,North America,6886.12,382562,6811,386
2025-05-26,Webinars,Q1 Brand Awareness,North America,3410.06,136402,2447,104
2026-01-15,Webinars,Industry Vertical Focus,EMEA,2637.82,105512,3467,132
2025-12-30,Content,Annual Summit,EMEA,2862.58,572516,21221,710
2024-07-23,Email,Q4 Renewal Push,North America,1042.33,521164,20684,599
2025-01-30,Content,Industry Vertical Focus,APAC,1517.54,303508,10088,405
2024-10-14,Google Ads,Q2 Lead Gen,North America,5141.29,642661,3710,218
2024-01-09,Events,Cloud Migration Series,APAC,22787.45,379790,14089,443
2024-03-30,Email,Q3 Product Launch,APAC,1082.81,541405,8829,669
2025-08-12,Webinars,AI Solutions Roadshow,North America,2452.33,98093,877,65
2024-01-14,Webinars,Annual Summit,North America,2175.16,87006,2619,207
2024-09-29,Google Ads,AI Solutions Roadshow,North America,10210.92,1276365,8733,495
2024-09-28,Content,Partner Co-Marketing,EMEA,1194.75,238950,8698,659
2026-04-16,LinkedIn,Annual Summit,APAC,8180.14,454452,5668,377
2025-04-08,Events,AI Solutions Roadshow,North America,19590.14,326502,4215,325
2025-11-28,LinkedIn,Q1 Brand Awareness,EMEA,6741.06,374503,3471,263
2026-04-21,Email,Q3 Product Launch,North America,473.92,236960,4239,205
2024-04-04,Events,Annual Summit,North America,8815.01,146916,4928,276
2026-01-26,Google Ads,AI Solutions Roadshow,APAC,7252.67,906583,19149,549
2025-11-27,Content,Security Compliance Push,North America,1793.33,358666,9862,211
2025-10-25,Content,Q1 Brand Awareness,EMEA,1586.21,317242,5377,333
2024-05-31,Google Ads,Security Compliance Push,EMEA,3667.75,458468,9191,530
2025-02-20,Google Ads,Q4 Renewal Push,EMEA,3470.16,433770,16000,883
2024-02-17,Content,Cloud Migration Series,APAC,2552.81,510562,19215,276
2025-01-11,Email,Partner Co-Marketing,EMEA,378.41,189205,1113,22
2025-11-29,Google Ads,Q3 Product Launch,North America,4188.56,523570,11104,769
2024-07-18,LinkedIn,AI Solutions Roadshow,North America,3968.09,220449,8568,500
2024-05-06,Google Ads,AI Solutions Roadshow,EMEA,8424.45,1053056,8466,673
2024-02-05,Google Ads,Q2 Lead Gen,North America,8375.37,1046921,18098,376
2026-03-05,Webinars,Q3 Product Launch,APAC,974.3,38972,1074,54
2025-10-08,Webinars,Q4 Renewal Push,North America,3411.36,136454,5297,183
2025-11-06,Content,Q4 Renewal Push,APAC,956.06,191212,1965,115
2026-04-14,Webinars,Q4 Renewal Push,EMEA,1549.17,61966,1442,75
2024-01-02,Email,Cloud Migration Series,APAC,1204.72,602360,20474,1325
2024-08-15,Email,Q4 Renewal Push,North America,861.73,430865,3467,119
2024-02-05,Webinars,AI Solutions Roadshow,North America,1052.32,42092,1648,21
2024-07-10,Webinars,Industry Vertical Focus,EMEA,4257.82,170312,5408,359
2026-04-29,Google Ads,AI Solutions Roadshow,North America,2535.93,316991,2968,112
2024-12-28,Content,Partner Co-Marketing,North America,2910.59,582118,16719,906
2024-07-06,Content,Q2 Lead Gen,LATAM,1783.19,356638,11691,632
2025-12-25,Email,Partner Co-Marketing,APAC,1317.57,658785,14326,468
2026-02-10,Email,Q3 Product Launch,North America,1573.99,786995,30492,2401
2024-06-05,Google Ads,Q3 Product Launch,APAC,7280.24,910030,24767,1555
2024-10-26,Email,Q3 Product Launch,North America,1587.7,793850,27810,1380
2026-01-04,Content,Q3 Product Launch,North America,2900.05,580010,11122,404
2026-04-20,Events,Cloud Migration Series,North America,17396.92,289948,10585,285
2025-10-12,Content,Security Compliance Push,APAC,1187.14,237428,8292,149
2024-02-26,Email,AI Solutions Roadshow,EMEA,949.47,474735,4110,109
2025-05-12,Content,Cloud Migration Series,North America,1941.34,388268,6084,112
2025-07-29,Email,Q3 Product Launch,North America,1164.79,582395,7391,273
2025-02-14,Content,Q1 Brand Awareness,EMEA,1288.38,257676,4889,244
2026-01-07,Webinars,Cloud Migration Series,North America,1984.69,79387,1166,50
2025-01-05,Email,Annual Summit,EMEA,1343.08,671540,25375,1425
2025-01-12,LinkedIn,AI Solutions Roadshow,LATAM,3727.21,207067,1596,101
2025-11-20,Email,Cloud Migration Series,North America,341.64,170820,6434,105
2026-01-08,Webinars,Industry Vertical Focus,LATAM,2960.09,118403,2460,110
2026-04-04,Google Ads,Q1 Brand Awareness,EMEA,2405.07,300633,2945,81
2025-03-21,Google Ads,Q1 Brand Awareness,North America,10722.02,1340252,29974,584
2025-11-08,LinkedIn,Q3 Product Launch,North America,8573.77,476320,11910,745
